34 [0.42857142857142855 1.0 1.0 1.0 0.0 -1.0 4.0 6.0 6.428571428571429 0.0 12.428571428571429 27.0 1.7142857142857142 15.142857142857142 4.0 -99.0 10.0 1.1428571428571428 0.0 -1.0 0.7142857142857143 1.1428571428571428 -0.2857142857142857 -1.0 2.142857142857143 0.42857142857142855 0.0 0.0 0.0 0.0,201510020045 201509300045 201511230098 201512200039 201506220024 201510040074 201603050046+0
35 [0.0 1.0 1.0 0.8888888888888888 0.1111111111111111 -0.7777777777777778 4.0 6.0 2.6666666666666665 0.0 5.888888888888889 7.444444444444445 3.3333333333333335 27.444444444444443 4.0 50.44444444444444 10.0 13.333333333333334 0.3333333333333333 0.3333333333333333 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 0.0 0.0 0.0 0.0,201511020068 201507310067 201507310066 201511020067 201602010019 201507220080 201507220083 201506250058 201507220079+0
36 [0.0 1.0 1.0 0.391304347826087 0.6086956521739131 0.21739130434782608 159.69565217391303 5.043478260869565 2.652173913043478 0.0 5.782608695652174 10.782608695652174 3.652173913043478 28.956521739130434 159.69565217391303 -99.0 10.0 0.7391304347826086 -9.0 -1.0 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 0.0 0.043478260869565216 0.0 0.043478260869565216,201601170003 201612220008 201503080016 201606200032 201504180006 201503100033 201502150018 201505060001 201511060047 201510310004 201510310002 201612020013 201505020118 201512310027 201512310026 201505230033 201512310024 201502160010 201608030033 201501180067 201603050032 201612180021 201512230040+0
37 [0.0 1.0 1.0 1.0 0.0 -1.0 95.0 10.0 2.5 0.5 5.5 9.25 15.5 107.75 95.0 -99.0 10.0 11.25 0.0 -1.0 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 0.0 1.0 0.0 1.0,201501080077 201503300070 201506150046 201506150047+0
38 [0.0967741935483871 0.967741935483871 0.967741935483871 1.0 0.06451612903225806 -0.7741935483870968 146.3548387096774 11.0 2.3548387096774195 0.0 5.0 4.806451612903226 1.8064516129032258 14.193548387096774 146.3548387096774 -99.0 10.0 1.6774193548387097 0.3870967741935484 0.5483870967741935 0.12903225806451613 -0.5806451612903226 -1.1612903225806452 -1.0 -0.3548387096774194 -0.7419354838709677 -9.0 -9.0 0.03225806451612903 -8.67741935483871,201508100090 201507300083 201504090068 201604300032 201603190030 201610180043 201611280041 201612160026 201603170036 201609250022 201603310045 201504110051 201504110053 201504110052 201605200038 201605100059 201503290040 201611210048 201503290042 201503100049 201510220029 201510090026 201606300043 201605030045 201508270061 201605010057 201602070018 201504080014 201612290030 201603180033 201606270029+0
39 [0.0 1.0 1.0 1.0 0.03125 -0.8125 153.78125 6.15625 2.6875 0.0 6.1875 15.75 14.0 67.59375 153.78125 -99.0 10.0 0.5 0.3125 0.25 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 -9.0 -9.0 0.0 -9.0,201508060085 201610180016 201610180017 201506020098 201603060035 201501210013 201606280008 201609100026 201612210011 201508210098 201603310006 201510110037 201602190060 201512200034 201512020015 201609270019 201501160057 201608190004 201603050026 201602190059 201603160036 201501090042 201609250016 201507210016 201601170044 201501300048 201606120036 201505150043 201602270031 201607220002 201504010042 201607130002+0
40 [0.023809523809523808 1.0 0.9523809523809523 1.0 0.09523809523809523 -0.5476190476190477 206.23809523809524 8.80952380952381 3.0476190476190474 0.21428571428571427 6.285714285714286 12.619047619047619 14.738095238095237 84.0952380952381 206.23809523809524 2.9047619047619047 10.0 2.8333333333333335 -1.5 0.7142857142857143 0.023809523809523808 -0.9523809523809523 -0.9761904761904762 -1.0 -0.9285714285714286 -0.9523809523809523 -4.619047619047619 -4.380952380952381 0.047619047619047616 -4.380952380952381,201505180059 201505180058 201507200006 201603220061 201606180014 201504010080 201610250040 201506240087 201502220084 201604170040 201509170015 201510260037 201505240103 201501010002 201507030074 201509170018 201511070007 201610110029 201603190005 201508170004 201511070009 201507190063 201504180026 201509210047 201610120011 201504200020 201509210025 201603150045 201506300062 201601250023 201509050059 201501190064 201503120046 201508030058 201505310083 201508080013 201602210013 201606020021 201505260081 201508310047 201605290003 201501130059+0
41 [0.06666666666666667 0.9 1.0 1.0 0.1 -0.7 4.366666666666666 6.3 3.2333333333333334 0.0 5.966666666666667 13.866666666666667 1.8333333333333333 4.833333333333333 4.366666666666666 -99.0 10.0 0.7333333333333333 -1.1 1.8 0.06666666666666667 -0.7333333333333333 -0.9 -4.266666666666667 -0.8 -0.7333333333333333 -9.0 -9.0 0.0 -9.0,201601150047 201505170064 201507130032 201502190042 201502040023 201602170041 201603300018 201504090002 201509090080 201609070047 201510100037 201510140017 201601280016 201610050050 201506240047 201503240025 201509170046 201501020059 201504050019 201507150058 201612020010 201608030035 201612290014 201502100033 201501260024 201508090097 201501190105 201609110013 201505050002 201507140073+0
42 [0.0 1.0 1.0 1.0 0.004784688995215311 -0.9760765550239234 95.1244019138756 9.956937799043063 2.9330143540669855 0.009569377990430622 6.038277511961723 15.655502392344498 2.5789473684210527 21.373205741626794 95.1244019138756 -99.0 10.0 0.9665071770334929 0.631578947368421 1.5311004784688995 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 -9.0 -9.0 0.0 -9.0,201504250005 201505170006 201510220005 201610030001 201510220008 201604010026 201503210002 201509130019 201507300067 201508150002 201507230025 201502060023 201506150002 201503170015 201606110001 201608210032 201507060005 201608290019 201609070002 201603190001 201506030001 201511290004 201511080052 201604230002 201608100028 201608310004 201505110002 201505280003 201610100001 201507160052 201608090015 201606220030 201507230032 201505180006 201601240027 201603240003 201509280006 201603310012 201608130002 201503170004 201510170011 201606090041 201505230020 201504040006 201604020002 201507250051 201501180012 201507220036 201505050085 201505050086 201505050087 201506260006 201505050089 201507220038 201509140010 201511160016 201602220023 201603260002 201505100078 201609170013 201509280035 201607110001 201509160039 201506110001 201509020012 201508100003 201610050007 201501200052 201511050030 201502100024 201506160001 201604300060 201602180010 201508300058 201607170010 201505050093 201505050092 201505050091 201505050090 201505050096 201505050095 201505050094 201609190010 201506290002 201509150038 201511110021 201511110025 201510120058 201505050084 201610160001 201502240052 201505020025 201505020024 201512060023 201603140015 201512130005 201601120039 201604270031 201603300017 201603300014 201511160035 201601170020 201604090026 201506080002 201507020026 201606250017 201505050083 201605070001 201607190018 201503110028 201504160006 201608190008 201505050088 201606160008 201601230019 201605090001 201503240026 201510010008 201511050010 201501030035 201511210021 201611260022 201512030010 201511220022 201502270022 201605040006 201506070001 201605260013 201607010032 201611270032 201504110054 201509210056 201601150034 201608080010 201508020110 201603230001 201505230063 201512190005 201609220020 201508300021 201607210007 201505190006 201603060003 201602070006 201507140009 201512090029 201508310008 201506050007 201504030005 201612180030 201504030002 201505220012 201501220034 201504210080 201512070002 201612260030 201609050007 201510070008 201506050005 201509070001 201507090026 201608050020 201507200049 201505050033 201602060003 201503090003 201503230015 201601190034 201605150004 201610020008 201609080004 201507310047 201504200015 201503300005 201506210001 201503300003 201508280016 201611020032 201602020009 201601190035 201605040001 201509010009 201606020001 201609240014 201501210015 201609300021 201605250015 201512140001 201504280014 201511140032 201605170033 201506290045 201504180072 201611050008 201503070027 201511280030 201604200004 201602260007 201508250017 201601150052 201512120002 201501230026 201505300015 201501280044 201607120007 201601050006 201501110005 201601300036 201502250007+0
43 [1.0 1.0 1.0 1.0 0.0 -1.0 195.0 11.0 2.0 0.0 5.0 5.0 14.0 75.0 195.0 -99.0 10.0 1.0 1.0 3.0 -9.0 -1.0 -1.0 -1.0 -1.0 -1.0 -9.0 -9.0 0.0 -9.0,201611090047 201611090053 201611090052 201611090051 201611090050 201611090048 201611090049+0
